id	name	region	lat	lon	bortle	direction_notes	review_status	source
1	大武崙砲台	基隆市安樂區	25.1594	121.7081	5	南面偏東 / 古蹟砲台堡壘與星空呼應	needs_review	user_provided_2026-06-13
2	不厭亭	新北市瑞芳區	25.0906	121.8481	4	東南方 / 經典寂寞公路延伸至銀河核心	needs_review	user_provided_2026-06-13
3	鼻頭角步道（燈塔）	新北市瑞芳區	25.1292	121.9239	4	東南至南方 / 白色燈塔與太平洋海銀河	needs_review	user_provided_2026-06-13
4	三貂角燈塔	新北市貢寮區	25.0078	122.0014	4	南南方 / 台灣極東點燈塔地景，需避開燈塔強光	needs_review	user_provided_2026-06-13
5	南雅奇岩	新北市瑞芳區	25.1206	121.8906	4	東南方 / 獨特海蝕風化岩石作為前景（需地景補光）	needs_review	user_provided_2026-06-13
6	鷹石尖（已封閉，周邊觀景點）	宜蘭縣頭城鎮	24.9453	121.8942	4	東南面 / 俯瞰蜜月灣與太平洋星空	needs_review	user_provided_2026-06-13
7	草嶺古道（埡口涼亭）	新北市貢寮區	24.9881	121.9367	4	南方 / 埡口山谷與虎字碑人文星景	needs_review	user_provided_2026-06-13
8	淡水福容飯店旁情人橋	新北市淡水區	25.1828	121.4111	7	西南方 / 城市高光害挑戰，適合冬春拍獵戶座與橋體	needs_review	user_provided_2026-06-13
9	瑞芳茶壺山步道	新北市瑞芳區	25.1094	121.8625	4	南方 / 涼亭與奇特岩峰，俯瞰陰陽海夜景與星空	needs_review	user_provided_2026-06-13
10	平溪十分國小（開闊處）	新北市平溪區	25.0428	121.7764	5	天頂 / 適合 SeeStar 進行深空天體窄頻拍攝	needs_review	user_provided_2026-06-13
11	拉拉山神木區入口	桃園市復興區	24.7042	121.4383	3	南方 / 高海拔巨木剪影與璀璨銀河	needs_review	user_provided_2026-06-13
12	巴陵舊橋	桃園市復興區	24.6811	121.3986	3	東南方 / 紅色拱橋與大漢溪谷星空	needs_review	user_provided_2026-06-13
13	東眼山國家森林遊樂區	桃園市復興區	24.8272	121.4117	4	南南方 / 林道柳杉木頂部星空（赤道儀追星點）	needs_review	user_provided_2026-06-13
14	雪霧鬧部落（高海拔農場）	桃園市復興區	24.7264	121.3789	3	南方 / 梯田地景，北面靠山阻擋桃園光害	needs_review	user_provided_2026-06-13
15	觀音草漯沙丘	桃園市觀音區	25.0617	121.1322	5	西南面 / 巨大風力發電風車與沙丘荒涼感	needs_review	user_provided_2026-06-13
16	新竹宇老觀景台	新竹縣尖石鄉	24.6625	121.2844	3	東南方 / 俯瞰那羅部落燈火與遠方山脈銀河	needs_review	user_provided_2026-06-13
17	新竹司馬庫斯巨木群	新竹縣尖石鄉	24.5794	121.3411	2	天頂及南方 / 極低光害，上帝的部落最純淨星空	needs_review	user_provided_2026-06-13
18	新竹鎮西堡教堂	新竹縣尖石鄉	24.5714	121.3283	2	南方 / 獨特泰雅族石砌教堂地景（強烈推薦）	needs_review	user_provided_2026-06-13
19	海之聲（殘橋）	新竹市香山區	24.7578	120.8975	5	西南方 / 延伸入海的荒廢水泥橋，拍攝西沉銀河	needs_review	user_provided_2026-06-13
20	太平山見晴古道	宜蘭縣大同鄉	24.4983	121.5367	2	東南至南方 / 舊鐵軌、青苔與迷霧銀河（常有雲海）	needs_review	user_provided_2026-06-13
21	翠峰湖景觀平台	宜蘭縣大同鄉	24.5122	121.6086	2	南方 / 台灣最大高山湖泊，拍出絕美星空倒影	needs_review	user_provided_2026-06-13
22	粉鳥林漁港（愛情鎖海灘）	宜蘭縣蘇澳鎮	24.4931	121.8436	3	東南方 / 矗立於海面上的奇特礁岩地景	needs_review	user_provided_2026-06-13
23	南方澳觀景台	宜蘭縣蘇澳鎮	24.5739	121.8661	4	東南方 / 俯瞰南方澳漁港與太平洋日出前的銀河	needs_review	user_provided_2026-06-13
24	明池國家森林遊樂區	宜蘭縣大同鄉	24.6514	121.4719	3	天頂 / 湖中枯木與落羽松，北橫明珠星景	needs_review	user_provided_2026-06-13
25	大里驛青年旅館旁海灘	宜蘭縣頭城鎮	24.9664	121.9242	4	東南方 / 以遠方龜山島為地景，銀河從島上方升起	needs_review	user_provided_2026-06-13
26	後龍好望角	苗栗縣後龍鎮	24.6017	120.7303	5	西南面 / 巨大風車與海線鐵道星軌	needs_review	user_provided_2026-06-13
27	雪霸國家公園觀霧遊憩區	苗栗縣泰安鄉	24.5053	121.1167	2	南方 / 聖稜線剪影與極致高山星空	needs_review	user_provided_2026-06-13
28	勝興車站 / 龍騰斷橋	苗栗縣三義鄉	24.3583	120.7742	4	南南方 / 磚紅斷橋歷史感（需微弱地景補光）	needs_review	user_provided_2026-06-13
29	向天湖	苗栗縣南庄鄉	24.5842	121.0336	3	東南方 / 湖畔矮靈祭場與柳杉林倒影	needs_review	user_provided_2026-06-13
30	加里山登山步道（避難山屋）	苗栗縣南庄鄉	24.5372	121.0028	2	天頂 / 杉木林間的純淨星空	needs_review	user_provided_2026-06-13
31	高美濕地（木棧道末端）	台中市清水區	24.3117	120.5489	5	西南面 / 濕地倒影與風車（受台中港光害影響）	needs_review	user_provided_2026-06-13
32	大坑步道（五號步道涼亭）	台中市北屯區	24.1894	120.7933	5	東南方 / 圓木棧道延伸感與都市邊緣星空	needs_review	user_provided_2026-06-13
33	武陵農場（露營區大草原）	台中市和平區	24.3644	121.3128	2	南方 / 歐式小木屋與落羽松星景（追星熱點）	needs_review	user_provided_2026-06-13
34	福壽山農場（千櫻園）	台中市和平區	24.2492	121.2464	2	南方 / 枯木、波斯菊或櫻花季限定星景	needs_review	user_provided_2026-06-13
35	梨山賓館前廣場	台中市和平區	24.2567	121.2514	3	北面至東面 / 宮殿式建築與星軌拍攝	needs_review	user_provided_2026-06-13
36	鳶峰星空劇場（暗空公園）	南投縣仁愛鄉	24.1169	121.2181	2	東南面 / 設有觀星平台，硬體完善的追星起點	needs_review	user_provided_2026-06-13
37	昆陽停車場（太魯閣碑）	南投縣仁愛鄉	24.1228	121.2664	2	南南方 / 經典S彎道車軌與銀河（車燈干擾極多）	needs_review	user_provided_2026-06-13
38	武嶺牌樓	南投縣仁愛鄉	24.1372	121.2758	2	東南面 / 全台公路最高點牌樓，銀河經典地標	needs_review	user_provided_2026-06-13
39	石門山步道（克難關側）	花蓮縣秀林鄉	24.1438	121.2839	2	南南方 / 中央尖山山稜線，避開武嶺車燈的最佳點	needs_review	user_provided_2026-06-13
40	合歡山主峰步道（第一瞭望台）	南投縣仁愛鄉	24.1344	121.2694	2	南方 / 碉堡與馬雅平台，拍垂直夏銀河首選	needs_review	user_provided_2026-06-13
41	合歡尖山（岩壁側）	南投縣仁愛鄉	24.1428	121.2817	2	東南方 / 尖銳冰斗地形，具強烈視覺張力	needs_review	user_provided_2026-06-13
42	小風口（合歡山管理站）	花蓮縣秀林鄉	24.1611	121.2875	2	天頂及北面 / 適合 SeeStar 擺放，有無障礙平台且風較小	needs_review	user_provided_2026-06-13
43	塔塔加（夫妻樹遺址）	南投縣信義鄉	23.4853	120.8839	2	東南方 / 雖然斷了一棵，但殘存巨木仍是春銀河經典	needs_review	user_provided_2026-06-13
44	塔塔加遊客中心（停車場）	南投縣信義鄉	23.4828	120.8894	2	南南方 / 阿里山山脈背側，拍玉山主峰星景起點	needs_review	user_provided_2026-06-13
45	日月潭出水口（向山段）	南投縣魚池鄉	23.8519	120.9014	4	東南面 / 湖面無波時可拍到銀河與蔣公碼頭倒影	needs_review	user_provided_2026-06-13
46	朝霧碼頭	南投縣魚池鄉	23.8711	120.9164	4	北至東面 / 拍攝星軌與晨曦前銀河	needs_review	user_provided_2026-06-13
47	王功漁港（芳苑燈塔）	彰化縣芳苑鄉	23.9681	120.3253	5	西南面 / 黑白相間條紋燈塔與王功橋地景	needs_review	user_provided_2026-06-13
48	彰化八卦山（微熱山丘周邊）	彰化縣南投市交界	23.9056	120.6433	5	東南面 / 鳳梨田與八卦山台地微光星空	needs_review	user_provided_2026-06-13
49	雲林草嶺萬年峽谷	雲林縣古坑鄉	23.6014	120.6694	4	南方 / 溪谷化石紋理與深山星空（注意夜間落石）	needs_review	user_provided_2026-06-13
50	古坑樟湖生態中小學	雲林縣古坑鄉	23.6128	120.6322	4	東南面 / 獨特茶園景致與S形木棧道星景	needs_review	user_provided_2026-06-13
51	阿里山小笠原山景觀平台	嘉義縣阿里山鄉	23.5075	120.8225	2	360度開闊 / 3,000米木棧平台，拍祝山日出前銀河	needs_review	user_provided_2026-06-13
52	阿里山祝山車站	嘉義縣阿里山鄉	23.5114	120.8194	2	東南方 / 新修築的弧形車站木結構與星空	needs_review	user_provided_2026-06-13
53	阿里山沼平車站（舊火車頭）	嘉義縣阿里山鄉	23.5167	120.8064	3	南方 / 櫻花季時櫻花、鐵道與星空三位一體	needs_review	user_provided_2026-06-13
54	梅山碧湖山觀光茶園	嘉義縣梅山鄉	23.5614	120.6139	4	東南面 / 階梯式茶園與瑞里山脈日出前銀河	needs_review	user_provided_2026-06-13
55	台南七股國聖燈塔	台南市七股區	23.1008	120.0361	4	西南面 / 台灣極西點鐵塔，沙丘地形有大漠星空感	needs_review	user_provided_2026-06-13
56	台南二寮觀日亭	台南市左鎮區	22.9914	120.4111	5	東南方 / 白堊紀惡地與竹林，若有低空雲海極壯觀	needs_review	user_provided_2026-06-13
57	烏山頭水庫（西拉雅度假村旁）	台南市官田區	23.2056	120.3739	5	天頂 / 適合智能天文台（DWARF2）做深空星雲觀測	needs_review	user_provided_2026-06-13
58	南化水庫（觀景台）	台南市南化區	23.0842	120.5367	4	東南方 / 水庫大壩與平靜水面映射星光	needs_review	user_provided_2026-06-13
59	高雄中之關步道（南橫）	高雄市桃源區	23.2694	120.8911	2	南方 / 南橫復通後的高海拔極低光害秘境	needs_review	user_provided_2026-06-13
60	高雄田寮月世界	高雄市田寮區	22.8844	120.3894	5	南南方 / 惡地山脊如月球表面，極具科幻感的星景	needs_review	user_provided_2026-06-13
61	高雄大樹舊鐵橋	高雄市大樹區	22.6606	120.4319	6	東南面 / 百年高屏溪舊鐵橋（高光害，考驗地景控光）	needs_review	user_provided_2026-06-13
62	屏東霧台谷川大橋（橋頭）	屏東縣霧台鄉	22.7533	120.7094	3	南方 / 全台最高橋柱與隘寮北溪谷星空	needs_review	user_provided_2026-06-13
63	墾丁龍磐大草原	屏東縣恆春鎮	21.9308	120.8442	3	南至東南 / 毫無遮蔽的太平洋海銀河，南十字星聖地	needs_review	user_provided_2026-06-13
64	墾丁貓鼻頭公園	屏東縣恆春鎮	21.9222	120.7411	3	南西方 / 裙礁海岸與西沉銀河，地形立體	needs_review	user_provided_2026-06-13
65	鵝鑾鼻燈塔	屏東縣恆春鎮	21.9022	120.8528	4	南南方 / 台灣最南端白色巨塔，須注意旋轉燈光干擾	needs_review	user_provided_2026-06-13
66	墾丁H會館旁海灘（枋山段）	屏東縣枋山鄉	22.2139	120.6558	4	西南面 / 台灣海峽巨石海岸，適合拍夏夜落銀河	needs_review	user_provided_2026-06-13
67	佳樂水風景區（山海瀑布）	屏東縣滿州鄉	21.9961	120.8622	3	東南方 / 蜂巢岩、蕈狀岩等奇岩怪石星空	needs_review	user_provided_2026-06-13
68	旭海大草原	屏東縣滿州鄉	22.1894	120.8878	2	東南面 / 牡丹鄉極低光害區，灌木叢與太平洋星空	needs_review	user_provided_2026-06-13
69	牡丹水庫（溢洪道前）	屏東縣牡丹鄉	22.1228	120.7817	3	南方 / 宏偉的大壩洩洪道與深山星斗	needs_review	user_provided_2026-06-13
70	滿州港口吊橋	屏東縣滿州鄉	21.9903	120.8436	3	東南面 / 溪流出海口與吊橋線條相互輝映	needs_review	user_provided_2026-06-13
71	萬金聖母聖殿	屏東縣萬巒鄉	22.5956	120.6117	5	天頂 / 西班牙碉堡式老教堂，星軌與深空拍攝	needs_review	user_provided_2026-06-13
72	墾丁白沙灣	屏東縣恆春鎮	21.9350	120.7175	4	西南面 / 潔白沙灘與海浪，適合拍攝春季獵戶座西沉	needs_review	user_provided_2026-06-13
73	大鵬灣跨海大橋（側邊）	屏東縣東港鎮	22.4542	120.4489	5	南南方 / 帆船造型大橋，利用局部點燈拍現代星景	needs_review	user_provided_2026-06-13
74	枋寮漁港（藍色天橋）	屏東縣枋寮鄉	22.3664	120.5878	5	西南面 / 港區天橋地景與海面星空	needs_review	user_provided_2026-06-13
75	屏東風吹砂	屏東縣恆春鎮	21.9442	120.8494	3	東南方 / 崖壁與沙河地形，風勢強勁需加固腳架	needs_review	user_provided_2026-06-13
76	七星潭風景區（北端）	花蓮縣新城鄉	24.0353	121.6311	4	東面至東南 / 月牙灣礫石灘，需避開花蓮機場光害	needs_review	user_provided_2026-06-13
77	石梯坪風景區	花蓮縣豐濱鄉	23.4889	121.5117	2	東南方 / 白色單面山世界級地質景觀，地景張力極強	needs_review	user_provided_2026-06-13
78	六十石山（忘憂亭）	花蓮縣富里鄉	23.2208	121.3214	2	南至西南 / 8-9月金針花季，花海、涼亭與銀河共舞	needs_review	user_provided_2026-06-13
79	赤科山（三巨石）	花蓮縣玉里鎮	23.3917	121.3883	2	南方 / 巨大黑色火成岩矗立於金針花丘陵間	needs_review	user_provided_2026-06-13
80	秀姑巒溪大橋（舊鐵道）	花蓮縣玉里鎮	23.3344	121.3156	3	南方 / 歐亞與菲律賓海板塊交界紀念碑旁舊鐵道	needs_review	user_provided_2026-06-13
81	三仙台跨海步橋	台東縣成功鎮	23.1233	121.4114	2	東南方 / 八拱波浪跨海大橋，全台最經典銀河前景	needs_review	user_provided_2026-06-13
82	加路蘭遊憩區	台東縣台東市	22.8058	121.1969	3	東南面 / 漂流木裝置藝術與太平洋銀河（極易到達）	needs_review	user_provided_2026-06-13
83	小野柳（富山護漁區）	台東縣台東市	22.7950	121.1944	3	東南方 / 豆腐岩與砂岩奇特紋理地景	needs_review	user_provided_2026-06-13
84	金剛大道（長濱）	台東縣長濱鄉	23.3158	121.4514	2	東南面 / 筆直大道直通太平洋，無電線桿純淨星空	needs_review	user_provided_2026-06-13
85	太麻里金針山（千禧亭）	台東縣太麻里鄉	22.6511	121.0114	3	南南方 / 俯瞰太平洋海岸線與高山台地星空	needs_review	user_provided_2026-06-13
86	多良車站（上方觀景台）	台東縣太麻里鄉	22.5072	120.9617	3	東南面 / 紅色鐵欄杆、太平洋與全台最美車站星軌	needs_review	user_provided_2026-06-13
87	大武濱海公園	台東縣大武鄉	22.3394	120.8944	2	東南方 / 南迴公路上極低光害的開闊海岸沙灘	needs_review	user_provided_2026-06-13
88	台東鹿野高台（起飛場）	台東縣鹿野鄉	22.9156	121.1189	3	南方 / 寬闊草皮，極度適合擺放 SeeStar 自動觀星	needs_review	user_provided_2026-06-13
89	嘉明湖（天使的眼淚）	台東縣海端鄉	23.2514	121.0319	1	360度全景 / 台灣頂級高山隕石湖倒影，璀璨銀河核心	needs_review	user_provided_2026-06-13
90	瓦拉米步道（山風吊橋）	花蓮縣卓溪鄉	23.3314	121.2114	2	南方 / 深山峽谷中的綠色吊橋與一線天星空	needs_review	user_provided_2026-06-13
91	澎湖七美龍埕海蝕平台	澎湖縣七美鄉	23.2017	119.4361	2	東南方 / 褶皺玄武岩如巨龍盤據，搭配海上銀河	needs_review	user_provided_2026-06-13
92	澎湖西嶼燈塔（漁翁島）	澎湖縣西嶼鄉	23.6353	119.4681	3	西南面 / 台灣最古老西式燈塔與玄武岩懸崖	needs_review	user_provided_2026-06-13
93	澎湖奎壁山（摩西分海）	澎湖縣湖西鄉	23.5967	119.6711	3	東北至東南 / 礫石步道延伸至赤嶼（需配合潮汐）	needs_review	user_provided_2026-06-13
94	綠島牛頭山草原	台東縣綠島鄉	22.6739	121.5036	2	360度開闊 / 巨大草坪與牛頭造型岩石，地景空曠	needs_review	user_provided_2026-06-13
95	綠島帆船鼻大草原	台東縣綠島鄉	22.6464	121.5014	2	南方 / 位於綠島溫泉旁，拍攝垂直夏銀河極佳	needs_review	user_provided_2026-06-13
96	蘭嶼青青草原	台東縣蘭嶼鄉	22.0164	121.5433	1	南南方 / 全台最純淨星空之一，拍銀河核心沉入海面	needs_review	user_provided_2026-06-13
97	蘭嶼東清灣（拼板舟）	台東縣蘭嶼鄉	22.0567	121.5714	1	東面 / 傳統達悟族拼板舟停泊在灘頭，極具人文美感	needs_review	user_provided_2026-06-13
98	蘭嶼氣象站	台東縣蘭嶼鄉	22.0369	121.5544	1	360度開闊 / 日治時期白石建築古蹟，居高臨下	needs_review	user_provided_2026-06-13
99	馬祖東莒燈塔（東犬燈塔）	連江縣莒光鄉	25.9733	119.9858	3	南方 / 百年英式花崗岩燈塔，春夏季可捕捉「銀河與藍眼淚」共存	needs_review	user_provided_2026-06-13
100	馬祖北竿芹壁聚落（上方）	連江縣北竿鄉	26.2236	119.9814	4	北至東面 / 閩東石頭古厝依山傍海，拍攝古村落星軌	needs_review	user_provided_2026-06-13
